Date,Type,Name,Start,End,Duration
05/05/16,place,Colegio Arzobispo Fonseca (Salamanca),2016-05-05T09:55:02+01:00,2016-05-05T13:10:05+01:00,11703
05/05/16,move,walking,2016-05-05T13:10:05+01:00,2016-05-05T13:11:15+01:00,70
05/05/16,place,Colegio Arzobispo Fonseca (Salamanca),2016-05-05T13:11:15+01:00,2016-05-05T14:42:00+01:00,5445
05/05/16,move,transport,2016-05-05T14:42:00+01:00,2016-05-05T14:53:58+01:00,718
05/05/16,place,Súmate - Marketing Online,2016-05-05T14:53:59+01:00,2016-05-05T16:49:13+01:00,6914
05/05/16,move,transport,2016-05-05T16:49:13+01:00,2016-05-05T20:31:47+01:00,13354
05/05/16,place,HOME,2016-05-05T20:31:47+01:00,2016-05-06T00:00:00+01:00,12493
06/05/16,place,HOME,2016-05-06T00:00:00+01:00,2016-05-06T08:05:21+01:00,29121
06/05/16,place,HOME,2016-05-06T08:12:48+01:00,2016-05-06T10:24:30+01:00,7902
06/05/16,move,transport,2016-05-06T10:24:30+01:00,2016-05-06T10:31:55+01:00,445
06/05/16,place,Jumbo - Estação de Serviço,2016-05-06T10:31:56+01:00,2016-05-06T10:38:50+01:00,414
06/05/16,move,transport,2016-05-06T10:38:50+01:00,2016-05-06T10:43:26+01:00,276
06/05/16,place,IPN TecBis,2016-05-06T10:43:26+01:00,2016-05-06T10:45:45+01:00,139
06/05/16,move,walking,2016-05-06T10:45:45+01:00,2016-05-06T10:47:50+01:00,125
06/05/16,move,transport,2016-05-06T10:47:50+01:00,2016-05-06T10:57:20+01:00,570
06/05/16,move,walking,2016-05-06T10:57:21+01:00,2016-05-06T10:59:21+01:00,120
06/05/16,move,transport,2016-05-06T10:59:21+01:00,2016-05-06T11:08:21+01:00,540
06/05/16,move,walking,2016-05-06T11:08:21+01:00,2016-05-06T11:25:24+01:00,1023
06/05/16,place,DEI,2016-05-06T11:25:24+01:00,2016-05-06T16:28:24+01:00,18180
06/05/16,move,walking,2016-05-06T16:28:24+01:00,2016-05-06T16:40:01+01:00,697
06/05/16,move,transport,2016-05-06T16:40:02+01:00,2016-05-06T16:46:02+01:00,360
06/05/16,move,walking,2016-05-06T16:46:02+01:00,2016-05-06T16:49:16+01:00,194
06/05/16,place,DEI,2016-05-06T16:49:16+01:00,2016-05-06T17:06:56+01:00,1060
06/05/16,move,transport,2016-05-06T17:06:56+01:00,2016-05-06T17:30:07+01:00,1391
06/05/16,place,British Council,2016-05-06T17:30:08+01:00,2016-05-06T17:58:30+01:00,1702
