Date,Type,Name,Start,End,Duration
09/03/16,move,transport,2016-03-09T08:20:55Z,2016-03-09T08:36:41Z,946
09/03/16,move,walking,2016-03-09T08:36:42Z,2016-03-09T08:55:06Z,1104
09/03/16,place,DEI,2016-03-09T08:55:07Z,2016-03-09T15:04:46Z,22179
09/03/16,move,walking,2016-03-09T15:04:46Z,2016-03-09T15:16:24Z,698
09/03/16,place,DEI,2016-03-09T15:16:25Z,2016-03-09T16:43:49Z,5244
09/03/16,move,walking,2016-03-09T16:43:49Z,2016-03-09T17:01:15Z,1046
09/03/16,move,transport,2016-03-09T17:01:15Z,2016-03-09T17:12:11Z,656
09/03/16,place,Escola Sofia,2016-03-09T17:12:11Z,2016-03-09T17:22:24Z,613
09/03/16,move,transport,2016-03-09T17:22:24Z,2016-03-09T17:27:26Z,302
09/03/16,place,HOME,2016-03-09T17:27:27Z,2016-03-09T18:07:13Z,2386
09/03/16,move,walking,2016-03-09T18:07:13Z,2016-03-09T18:30:57Z,1424
09/03/16,place,HOME,2016-03-09T18:30:57Z,2016-03-10T00:00:00Z,19743
10/03/16,place,HOME,2016-03-10T00:00:00Z,2016-03-10T08:21:17Z,30077
10/03/16,move,transport,2016-03-10T08:21:17Z,2016-03-10T08:36:51Z,934
10/03/16,place,IPN,2016-03-10T08:36:51Z,2016-03-10T08:39:57Z,186
10/03/16,move,walking,2016-03-10T08:39:57Z,2016-03-10T08:59:15Z,1158
10/03/16,place,DEI,2016-03-10T08:59:16Z,2016-03-10T16:48:26Z,28150
10/03/16,move,walking,2016-03-10T16:48:26Z,2016-03-10T17:02:40Z,854
10/03/16,move,transport,2016-03-10T17:02:40Z,2016-03-10T17:17:44Z,904
10/03/16,place,HOME,2016-03-10T17:17:44Z,2016-03-10T17:41:08Z,1404
10/03/16,move,transport,2016-03-10T17:41:08Z,2016-03-10T18:03:19Z,1331
10/03/16,move,walking,2016-03-10T18:03:19Z,2016-03-10T18:06:53Z,214
10/03/16,place,Fnac,2016-03-10T18:06:54Z,2016-03-10T19:02:15Z,3321
10/03/16,move,transport,2016-03-10T19:02:15Z,2016-03-10T19:28:28Z,1573
10/03/16,place,HOME,2016-03-10T19:28:29Z,2016-03-11T00:00:00Z,16291
11/03/16,place,HOME,2016-03-11T00:00:00Z,2016-03-11T08:16:56Z,29816
11/03/16,move,transport,2016-03-11T08:16:56Z,2016-03-11T08:32:14Z,918
11/03/16,move,walking,2016-03-11T08:32:15Z,2016-03-11T08:51:22Z,1147
